Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_ALT_QUESTACCEPTED,"Missione Accettata","Mission Accepted","Mise přijata","Mission angenommen","Миссия принята","Misja zaakceptowana","Küldetés elfogadva","Missione Accettata","Misión aceptada","Mission acceptée","接受任務","ミッションを受諾しました","Missão aceita","接受任务"
STR_ALT_QUEST,"La missione","The mission","Poslání","Die Mission","Миссия","Misja","A küldetés","La missione","la mision","La mission","使命","使命","A missão","使命"
STR_ALT_QUESTBEENACEPTED,"e' stata accettata!","it was accepted","bylo to přijato","es wurde angenommen","это было принято","zostało to przyjęte","elfogadták","e' stata accettata!","fue aceptado","il a été accepté","它被接受了","それは受け入れられました","foi aceito","它被接受了"
STR_ALT_QUESTCOMPLETED,"Missione Completata","Mission Complete","Mise dokončena","Mission abgeschlossen","Миссия завершена","Misja ukończona","Mission Complete","Missione Completata","Misión completada","Mission terminée","任務完成","ミッション完了","Missão concluída","任务完成"
STR_ALT_QUESTOBJECTIVECOMPLETE,"Tutti gli obiettivi della missione","All mission objectives","Všechny cíle mise","Alle Missionsziele","Все цели миссии","Wszystkie cele misji","Minden küldetési cél","Tutti gli obiettivi della missione","Todos los objetivos de la misión.","Tous les objectifs de la mission","所有任務目標","すべてのミッション目標","Todos os objetivos da missão","所有任务目标"
STR_ALT_QUESTBEENCOMPLETED,"sono stati completati","have been completed","byly dokončeny","sind abgeschlossen","были завершены","zostały ukończone","elkészültek","sono stati completati","han sido completados","ont été complétés","已完成","完了しました","foram concluídos","已完成"
STR_ALT_QUESTFAILED,"Missione Fallita","Mission Failed","Mise se nezdařila","Mission fehlgeschlagen","Миссия провалена","Misja nie powiodła się","A küldetés sikertelen","Missione Fallita","Misión fallida","Mission échouée","任務失敗","ミッション失敗","Missão falhou","任务失败"
STR_ALT_QUESTFAILED_1,"e' fallita!","it failed","to selhalo","es ist fehlgeschlagen","это не удалось","nie udało się","nem sikerült","e' fallita!","falló","ça a échoué","它失敗了","失敗しました","falhou","它失败了"
STR_ALT_QUESTCANCEL,"Missione Cancellata","Mission Cancelled","Mise zrušena","Mission abgesagt","Миссия отменена","Misja odwołana","Küldetés törölve","Missione Cancellata","Misión cancelada","Mission annulée","任務取消","ミッションキャンセル","Missão cancelada","任务取消"
STR_ALT_QUESTHASCANCEL,"e' stata cancellata!","it has been cancelled","bylo zrušeno","es wurde abgesagt","оно было отменено","zostało odwołane","törölve lett","e' stata cancellata!","ha sido cancelado","il a été annulé","它已被取消","キャンセルされました","foi cancelado","它已被取消"
STR_ALT_QUESTTURNIN,"Missione Consegnata","Mission Delivered","Mise splněna","Mission erfüllt","Миссия выполнена","Misja dostarczona","Küldetés teljesítve","Missione Consegnata","Misión cumplida","Mission accomplie","使命已達","使命は達成されました","Missão entregue","使命已达"
STR_ALT_QUESTHASCOMPLETED,"e stata consegnata!","and was delivered","a bylo doručeno","und wurde geliefert","и был доставлен","i został dostarczony","és kézbesítették","e stata consegnata!","y fue entregado","et a été livré","並已交付","そして配達されました","e foi entregue","并已交付"
STR_ALT_QUESTOBJECTIVECOMPLET,"Obiettivo Completato","Objective Completed","Cíl splněn","Ziel erreicht","Цель достигнута","Cel ukończony","Cél teljesítve","Obiettivo Completato","Objetivo completado","Objectif atteint","目標完成","目標は完了しました","Objetivo concluído","目标完成"
STR_ALT_QUESTHAVEOBJECTIVECOMPLET,"Hai completato l'obiettivo","You have completed the objective","Splnili jste cíl","Du hast das Ziel erreicht","Вы выполнили цель","Osiągnąłeś cel","Ön teljesítette a célt","Hai completato l'obiettivo","Has completado el objetivo.","Vous avez rempli l'objectif","你已經完成了目標","目標を達成しました","Você completou o objetivo","你已经完成了目标"
STR_ALT_QUESTOF,"della missione","of the mission","mise","der Mission","миссии","misji","a küldetésről","della missione","de la misión","de la mission","使命的","ミッションの","da missão","使命的"
STR_ALT_QUESTCOOLDOWN,"La missione in Attesa","The Waiting Mission","Vyčkávací mise","Die Wartemission","Ожидающая миссия","Misja Oczekiwania","A Várakozó Misszió","La missione in Attesa","La misión de espera","La mission d'attente","等待的使命","待っているミッション","A missão de espera","等待的使命"
STR_ALT_QUESTCOOLDOWNCOMEBACK,"La missione e' ancora in attesa! Ritorna in","The mission is still pendingReturn to","Mise stále čekáNávrat do","Die Mission steht noch ausZurück zu","Миссия все еще не завершенаВернуться в","Misja jest nadal w tokuWróć do","A küldetés még várat magáraVissza ide","La missione e' ancora in attesa! Ritorna in","La misión aún está pendiente.Volver a","La mission est toujours en attenteRetour à","任務仍懸而未決返回","ミッションはまだ保留中ですに戻る","A missão ainda está pendenteVoltar para","任务仍悬而未决返回"
STR_ALT_QUESTGROUP,"Missione di Gruppo","Group Mission","Skupinová mise","Gruppenmission","Групповая миссия","Misja Grupowa","Csoportos küldetés","Missione di Gruppo","Misión grupal","Mission de groupe","集團使命","グループミッション","Missão do Grupo","集团使命"
STR_ALT_QUESTGROUPACCEPT,"Le missioni di gruppo possono essere accettate solo quando si e' in un gruppo!","Group missions can only be accepted when you are in a group","Skupinové mise lze přijímat pouze tehdy, když jste ve skupině","Gruppenmissionen können nur angenommen werden, wenn Sie in einer Gruppe sind","Групповые миссии можно принимать только тогда, когда вы находитесь в группе.","Misje grupowe można przyjmować tylko wtedy, gdy jesteś w grupie","Csoportos küldetések csak akkor fogadhatók el, ha Ön egy csoporthoz tartozik","Le missioni di gruppo possono essere accettate solo quando si e' in un gruppo!","Las misiones grupales solo se pueden aceptar cuando estás en un grupo.","Les missions de groupe ne peuvent être acceptées que lorsque vous êtes en groupe","只有在組隊時才能接受組隊任務","グループミッションはグループに所属している場合のみ受注可能です","Missões em grupo só podem ser aceitas quando você está em grupo","只有在组队时才能接受组队任务"
STR_ALT_QUESTGROUPTURNIN,"Solo un capogruppo puo' accettare missioni di gruppo!","Only a group leader can accept group missions","Skupinové mise může přijímat pouze vedoucí skupiny","Nur ein Gruppenleiter kann Gruppenmissionen annehmen","Только лидер группы может принимать групповые миссии.","Misje grupowe może przyjmować tylko lider grupy","Csak a csoportvezető fogadhat el csoportküldetést","Solo un capogruppo puo' accettare missioni di gruppo!","Sólo un líder de grupo puede aceptar misiones de grupo.","Seul un chef de groupe peut accepter des missions de groupe","只有團長可以接受團體任務","グループリーダーのみがグループミッションを受け入れることができます","Somente um líder de grupo pode aceitar missões de grupo","只有团长可以接受团体任务"
STR_ALT_QUESTACHIVEMENT,"Achievement","Achievements","Úspěchy","Erfolge","Достижения","Osiągnięcia","Eredmények","Achievement","Logros","Réalisations","成就","業績","Conquistas","成就"
STR_ALT_QUESTACHIVEMENTCOMPLET,"completato!","completed","dokončeno","vollendet","завершенный","zakończony","elkészült","completato!","terminado","complété","完全的","完了しました","concluído","完全的"
TEST_TITLE,"[TEST] TAGLIA ESEMPIO","[TEST] SIZE EXAMPLE","[TEST] PŘÍKLAD VELIKOSTI","[TEST] GRÖSSENBEISPIEL","[ТЕСТ] ПРИМЕР РАЗМЕРА","[TEST] PRZYKŁADOWY ROZMIAR","[TESZT] MÉRET PÉLDA","[TEST] TAGLIA ESEMPIO","[PRUEBA] EJEMPLO DE TAMAÑO","[TEST] EXEMPLE DE TAILLE","[測試] 尺寸示例","【テスト】サイズ例","[TESTE] EXEMPLO DE TAMANHO","[测试] 尺寸示例"
